S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
13-50,4234.1,4234.5,1.3,1.3,0.01,2.8,10.2,40.8,0
13-52,4236.05,4236.6,2.2,2.03,0.04,2.79,8,30.7,0
13-54,4238.45,4238.9,1.8,1.42,<.01,2.78,5.4,49.3,0
13-56,4240,4240.4,22.5,18.41,0.78,2.83,6.5,11.6,0
13-58,4242.1,4242.7,224.7,194.23,53.76,2.78,11.1,32.5,0
13-60,4244,4244.2,50.63,12.52,2.7,2.83,3.5,29.8,0
14-3,4246.3,4246.75,430.6,399.15,99.62,2.81,8.4,22.4,0
14-5,4248.65,4249,0.37,0.35,<.01,2.75,6.7,38.3,0
14-7,4250.1,4250.3,4.3,2.24,3.57,2.63,4.8,32.3,0
14-9,4252.65,4253,198.86,126.66,239.13,2.79,12.7,24.6,0
14-10,4253,4253.2,73.26,45.35,11.92,2.81,6.2,37.8,0
14-11,4254,4254.6,1.78,0.61,0.01,2.8,6.3,24.8,0
14-13,4256.5,4257,12.02,0.19,<.01,2.8,5.2,33.8,0
14-15,4258,4258.5,0.82,0.77,0.05,2.82,5.5,24.7,0
14-17,4260.4,4260.9,0.27,0.16,<.01,2.81,2.6,29.5,0
14-19,4262.8,4263,0.27,0.27,<.01,2.75,8.5,44,0
14-20,4263,4263.75,103.56,25.73,3.11,2.79,4.7,38.9,0
15-2,4268.4,4269,1.73,0.38,2.17,2.65,0.3,80.8,0
15-4,4270.55,4271,57.5,4.68,63.25,2.83,3,20.1,0
15-6,4272.15,4272.75,209.89,63.6,28.94,2.81,3.4,11.9,0
15-8,4274.2,4274.6,1.64,0.94,<.01,2.79,4.5,25.7,0
15-10,4276.75,4277,7,6.25,<.01,2.82,1.3,24,0
15-12,4278.3,4278.5,5.33,2.02,2.38,2.81,2.1,23.8,0
15-14,4280.45,4280.75,167.69,160.09,167.72,2.82,12.9,19.9,0
