S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
22-4,7181.75,7182.1,0.813,0.418,0.136,2.84,1.3,61.8,0
22-8,7185.25,7185.9,0.034,0.03,0.003,2.83,3.3,83.4,0
22-10,7187,7187.9,0.343,0.074,0.002,2.83,2.8,74.3,0
22-18,7195.8,7196.7,0.707,0.228,0.016,2.82,2,69.8,0
22-21,7198.8,7199.5,0.1,0.053,<.001,2.82,3,82.9,0
22-22,7199.9,7200.8,0.502,0.125,<.001,2.82,3.3,80,0
22-24,7201.1,7202,1.878,0.101,<.001,2.82,4.7,83.6,0
22-26,7203.8,7204.4,0.415,0.272,<.001,2.83,4.8,88.6,0
22-27,7204.55,7205.3,0.311,0.297,0.002,2.81,4.6,79.1,0
22-28,7205.45,7206,2.242,0.937,0.008,2.81,5.5,85.8,0
22-29A,7206,7206.55,12.025,10.944,16.894,2.82,8.8,76.8,0
22-29B,7206.7,7207.4,15.62,11.446,1.26,2.82,4,73.1,0
22-33,7210.2,7210.9,32.668,13.016,0.045,2.8,7.2,75.7,0
22-34,7211.1,7211.6,0.254,0.227,0.002,2.81,5.6,93.1,0
22-35,7213,7213.65,1.203,1.088,0.042,2.82,7.1,73.9,0
22-36,7213.9,7214.7,0.247,0.192,0.007,2.82,5.1,81.4,0
22-37,7215.1,7216,1.509,1.236,0.03,2.81,6.2,75.3,0
22-39,7216,7216.35,3.36,2.462,1.471,2.83,6.4,51.8,0
22-40,7217.4,7218.3,11.453,11.267,3.091,2.82,7.6,81.2,0
22-42,7219.7,7220.4,14.525,12.375,0.013,2.82,7.1,64.9,0
22-45,7222.5,7223.2,2.371,0.658,0.143,2.81,8.4,74.8,0
22-50,7227.1,7228,0.6,0.369,0.011,2.81,6.6,73.6,0
22-51,7228.1,7229,19.265,5.977,0.206,2.82,8.1,79.1,0
22-52,7229.8,7230.5,4.544,3.456,0.035,2.82,8.5,75.1,0
22-55,7232.5,7233.4,1.886,1.5,0.005,2.82,5.9,69.2,0
23-1,7257.1,7258,1.638,1.417,0.16,2.83,9.1,86.6,0
23-2,7258,7259.8,3.968,2.296,0.074,2.83,7.3,81,0
23-3,7259,7259.45,22.175,15.874,0.198,2.83,8.6,75.1,0
23-3-1,7259.06,7260,13.072,6.647,<.001,2.83,3,96.8,0
23-5,7260.55,7261.3,8.876,7.253,0.19,2.84,3.8,74,0
23-5-1,7261.6,7262.2,5.53,2.914,3.871,2.84,3.5,63.2,0
23-10,7266.3,7266.7,0.079,,15.809,2.82,2.6,38.8,0
23-11,7267.15,7267.75,11.344,3.124,6.849,2.82,3.1,68.7,0
24-1,7334.25,7335.15,0.094,0.092,<.001,2.8,4.6,87.8,0
24-4,7337.3,7338.2,4.684,3.939,0.335,2.81,3.2,67.2,0
24-7,7341.1,7341.8,20.488,6.433,0.244,2.81,6.7,74.6,0
24-12,7345.4,7346.3,4.76,4.217,0.049,2.82,3.4,67.6,0
24-16,7349.1,7349.8,0.03,0.029,<.001,2.82,6.3,94.2,0
24-17,7350.95,7351.6,0.876,0.131,0.06,2.83,2.2,97.2,0
24-20,7353.25,7354,0.046,0.044,<.001,2.82,3,98.5,0
24-23,7356,7356.8,0.059,0.054,0.001,2.82,3.5,92,0
24-25,7358.55,7359.45,0.132,0.082,<.001,2.82,2.9,83.5,0
24-29,7362,7362.65,1.319,0.261,3.959,2.82,3.9,76.7,0
24-34,7367.3,7368.1,0.205,0.146,<.001,2.84,3.6,40.4,0
24-35,7368.2,7369,0.105,0.098,<.001,2.82,3.7,83.8,0
24-36,7370.1,7371,0.025,0.02,<.001,2.82,2,91.7,0
24-43,7376.9,7377.8,0.081,0.04,<.001,2.82,2,86.8,0
24-51,7384.8,7385.7,1.156,0.203,0.009,2.83,1.6,63.3,0
25-4,7397,7397.9,2.293,0.924,<.001,2.82,2,67.9,0
25-12,7406,7406.75,0.17,0.167,0.008,2.82,4.5,92.7,0
25-21,7414,7415.75,0.113,0.097,<.001,2.81,1.7,94.6,0
25-24,7417.9,7418.55,0.017,0.014,<.001,2.82,1.3,96.7,0
26-1,7426.7,7427.4,15.285,0.375,<.001,2.82,1.9,83.5,0
26-3,7428.45,7429.35,3.035,1.053,0.39,2.83,1.6,80.9,0
27-4,7533,7533.9,5.785,1.798,0.077,2.65,4.9,79.6,0
27-6,7535.6,7536.5,1.114,1.106,<.001,2.68,5.6,72.5,0
27-10,7539.2,7540.1,0.055,0.052,<.001,2.7,7.9,91.9,0
27-14,7543.75,7544.65,0.158,0.057,<.001,2.78,7,90.9,0
27-18,7547.8,7548.6,0.129,0.083,<.001,2.77,5.1,94.2,0
27-22,7552.2,7553.1,2.489,0.528,<.001,2.79,5.4,83.8,0
27-29,7558.9,7559.5,0.036,0.035,<.001,2.78,3.6,84.8,0
27-32,7561.15,7562.05,0.116,0.115,<.001,2.65,9.1,96.5,0
27-37,7566.55,7567.45,0.679,0.429,<.001,2.63,4.9,80.8,0
28-2,7569.7,7570.4,0.135,0.089,<.001,2.63,5.9,98.4,0
28-5,7572.15,7573.05,0.114,0.09,<.001,2.64,7.7,90.2,0
28-10,7577.2,7578.1,0.36,0.099,<.001,2.63,7.6,93.9,0
28-12,7580,7580.55,6.694,0.068,4.851,2.64,3.4,90.5,0
28-17,7584.95,7585.85,1.575,0.518,<.001,2.61,8.6,88.9,0
28-19,7586.85,7587.7,0.705,0.654,0.004,2.62,7.4,70.5,0
