DEPT.F,CALI,SGR,CGR,POTA,THOR,URAN,NPHL,DLIM,RHOB,PEF,PHIS,RT,RXO,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,PHItmri,DEPT
3969,8.1631,61.0798,19.5667,0.7525,2.6011,3.505,6.49,3.3,2.6535,4.3605,13.76289753,9.9984,9.2874,0.9386,1.6783,0.5081,0.0394,0.1253,0.152,0.0012,0,0.0001,0.0244,3.4674,3969
3969.5,8.1776,77.3784,22.9694,0.8984,2.9821,4.5253,8.38,3.84,2.6443,4.1101,16.86332155,8.6575,8.1986,1.6774,1.4071,0.2587,0.0273,0.2484,0.1476,0.0014,0,0,0.0025,3.7704,3969.5
3970,8.1933,102.9561,28.357,1.1324,3.5708,6.1583,10.7,5.32,2.619,3.8309,20.92183746,6.6773,6.5116,2.4937,0.894,0.0619,0.0722,0.377,0.1099,0.006,0.0014,0.0007,0.0012,4.018,3970
3970.5,8.2521,132.8137,34.3778,1.3923,4.2362,8.0924,14.38,7.51,2.5815,3.5556,26.31300353,4.764,4.7756,2.7894,0.4836,0.0032,0.1684,0.3886,0.0722,0.0193,0.0063,0.0037,0.0064,3.9411,3970.5
3971,8.2754,163.1539,39.8516,1.6286,4.8415,10.1459,20.76,9.08,2.5547,3.459,30.89908127,3.8663,3.8954,2.6738,0.3404,0.0019,0.2498,0.3059,0.0221,0.0157,0.004,0.0035,0.0331,3.6502,3971
3971.5,8.2959,182.0773,42.8949,1.7567,5.1928,11.4314,24.87,10.03,2.5385,3.4422,33.73830389,3.5575,3.6596,2.4764,0.2771,0.002,0.2564,0.2325,0.0037,0.0023,0.0004,0.0011,0.0661,3.318,3971.5
3972,8.3086,197.6558,45.015,1.8442,5.4462,12.5308,27.62,11.15,2.5193,3.4704,35.7530742,3.7652,3.8877,2.0704,0.1678,0.0007,0.2306,0.2395,0.0006,0,0,0.0013,0.0806,2.7915,3972
3972.5,8.3005,227.1873,50.6612,2.0769,6.1224,14.5398,29.34,14.1,2.4688,3.5468,37.12367491,4.8535,5.0013,1.5254,0.2048,0.0085,0.1817,0.2052,0.0017,0,0.0003,0.0056,0.1051,2.2383,3972.5
3973,8.2835,273.808,60.3164,2.4765,7.2712,17.6424,34.49,19.09,2.3836,3.5296,38.30572438,6.9919,7.0088,1.0386,0.3419,0.0671,0.0827,0.1469,0.0036,0,0.0003,0.0061,0.1414,1.8286,3973
3973.5,8.259,329.3328,72.3516,2.9597,8.7736,21.2866,36.81,24.1,2.2978,3.4219,39.74650177,10.0537,9.6931,0.6241,0.2409,0.1816,0.1055,0.1157,0.0129,0,0.0001,0.0025,0.1623,1.4456,3973.5
3974,8.2498,377.11,82.4095,3.3619,10.0366,24.4474,35.98,27.17,2.2454,3.3881,40.98572438,13.3059,12.2071,0.4098,0.0657,0.2468,0.1702,0.1042,0.0155,0.0001,0,0.001,0.1545,1.1678,3974
3974.5,8.241,398.9911,86.7013,3.5277,10.6029,25.9216,36.23,27.51,2.2396,3.436,41.67010601,15.1341,13.5134,0.2017,0.0144,0.3573,0.1661,0.0386,0.003,0,0,0.0003,0.1451,0.9265,3974.5
3975,8.2422,399.5586,85.1566,3.4722,10.3787,26.1808,33.14,25.68,2.2709,3.4813,41.64812721,14.13,12.6595,0.043,0.0014,0.3983,0.1234,0.0019,0,0,0,0,0.1356,0.7036,3975
3975.5,8.251,386.658,80.7296,3.3074,9.764,25.5188,33.18,23.5,2.3082,3.4974,41.29561837,12.5021,11.4794,0.0107,0,0.3708,0.139,0,0,0,0,0.0002,0.1133,0.634,3975.5
3976,8.2554,370.1192,75.6239,3.1108,9.0868,24.5937,31.91,22.7,2.3218,3.443,40.60678445,10.9668,10.4115,0.0199,0,0.3151,0.1682,0,0,0,0,0.0009,0.0851,0.5892,3976
3976.5,8.2675,357.541,71.789,2.9628,8.5786,23.8416,32.39,22.41,2.3268,3.4017,38.09102473,10.1,9.7519,0.0509,0.0001,0.2291,0.1446,0,0,0,0,0.0022,0.0705,0.4974,3976.5
3977,8.2571,327.9784,65.7066,2.695,7.9213,21.835,28.64,21.14,2.3485,3.4699,34.85844523,10.3975,9.9336,0.1256,0.0012,0.1621,0.1445,0.0004,0,0,0,0.0021,0.0745,0.5104,3977
3977.5,8.2433,269.3725,54.3317,2.207,6.6244,17.8567,20.34,17.14,2.4169,3.7032,29.99385159,11.5177,10.5394,0.2118,0.0106,0.1273,0.1978,0.0062,0,0,0,0.0004,0.079,0.6331,3977.5
3978,8.243,190.0966,39.3143,1.5844,4.8261,12.4664,8.84,9.57,2.5463,4.2278,20.29166078,16.9205,13.8259,0.2481,0.0227,0.0803,0.2487,0.0401,0,0,0,0,0.0725,0.7124,3978
3978.5,8.2362,111.8872,24.1219,0.9635,2.9854,7.2188,2.67,3.18,2.6557,4.7747,14.09031802,38.9726,26.8261,0.3867,0.0286,0.0232,0.2478,0.128,0.0029,0.0012,0.0001,0.0001,0.0583,0.8769,3978.5
3979,8.2256,61.2328,13.8424,0.5511,1.7138,3.8952,1.45,1.27,2.6883,4.9183,10.04310954,95.7837,59.4999,0.7388,0.1168,0.0073,0.1497,0.2122,0.0721,0.0246,0.0024,0.0096,0.0583,1.3918,3979
3979.5,8.2167,38.9682,9.4794,0.3746,1.1825,2.4279,2.28,1.2,2.6895,4.8436,7.641908127,70.3235,49.7155,1.0538,0.4862,0.038,0.0564,0.2862,0.3206,0.1278,0.0744,0.0979,0.0809,2.6222,3979.5
3980,8.1735,39.6586,10.6,0.4117,1.3525,2.3969,5.75,4.97,2.625,4.6325,7.007420495,21.1863,17.0632,0.9546,1.2751,0.2824,0.1125,0.5807,0.5806,0.3196,0.3246,0.2972,0.1293,4.8566,3980
3980.5,8.1974,49.9457,14.8621,0.5689,1.9304,2.8905,14.18,22.3,2.3287,3.7534,8.782897527,6.2322,5.4467,1.037,2.2689,0.6779,0.3498,0.9805,1.0288,0.7037,0.4769,0.5023,0.4986,8.5244,3980.5
3981,8.3049,64.4166,21.5189,0.8142,2.832,3.5166,26.55,52.19,1.8176,2.4017,13.15286219,2.6869,2.5139,2.2424,2.8366,0.7751,0.7728,1.4189,1.6497,1.262,0.5311,0.6257,1.2529,13.3672,3981
3981.5,8.5459,77.7841,29.0596,1.0973,3.8208,3.9795,38.19,74.06,1.4435,1.6171,17.74840989,2.0252,1.9918,4.2779,2.8329,0.5897,1.3879,1.9814,2.2326,1.7052,0.6015,0.9039,2.0911,18.6041,3981.5
3982,9.9035,92.0636,38.4865,1.4498,5.0544,4.3824,40.79,73.35,1.4557,1.7087,18.98487633,2.0273,2.0396,6.0799,2.9882,0.4026,1.806,2.3895,2.6488,1.9123,0.5949,1.5423,2.6237,22.9882,3982
