DEPT.F,GR son ,DTC .uspf ,PHISD,DEPT,NPHI,NPHD,DPHD,CALI,GR,GRTO,GRTC,POTA,URAN,THOR,4ms,8ms,16ms,32ms,64ms,128ms,256ms,512ms,1024ms,2048ms,CBW,BVI,FF,PHIe,PHItmri,PHIs,PHIr
4707.5,15.21360016,58.65269852,10.41422578,4707.5,8.3337,6.9471,10.9098,7.9875,15.8901,13.1314,5.5675,0.1732,1.1992,1.0057,0.7075,0.7644,0.1839,0.2848,2.1603,1.6336,1.0236,1.4611,0.385,0.0218,1.719,1.2641,6.479,7.7431,9.4621,10.41422578,8.549989963
4708,15.81729984,57.62329865,9.706734464,4708,7.1115,5.7517,9.7096,7.9157,19.6912,14.8847,6.3604,0.2026,1.3518,1.1269,0.3217,0.404,0.238,0.5918,1.4744,1.1209,1.2572,1.6418,0.4118,0.0121,1.614,1.1822,5.9212,7.1035,8.7175,9.706734464,7.326057312
4708.5,16.84989929,56.15409851,8.696974921,4708.5,7.2899,5.9265,8.4934,7.8915,25.1375,17.3102,7.5354,0.2447,1.5484,1.3128,0.1832,0.1883,0.1206,0.6253,1.1948,1.0185,1.2194,1.5162,0.5952,0.0481,1.5452,1.2215,5.2249,6.4463,7.9915,8.696974921,6.156712536
4709,17.21380043,53.81909943,7.092164554,4709,7.5025,6.1347,6.604,7.9172,27.2116,18.7859,8.3747,0.2759,1.6486,1.4403,0.0311,0.0302,0.063,0.5597,0.8562,0.955,1.1438,1.1215,0.7816,0.2945,1.3487,1.152,4.6808,5.8329,7.1815,7.092164554,5.194624113
4709.5,20.21660042,52.13359833,5.933744555,4709.5,7.7955,6.4213,5.6006,7.947,25.1146,17.7094,8.0572,0.2707,1.5291,1.3605,0.0089,0.0047,0.0378,0.3659,0.7974,0.9629,0.9443,0.7336,0.8688,0.6458,1.0382,0.9353,4.4323,5.3677,6.4059,5.933744555,4.359151966
4710,26.36199951,51.12599945,5.241236736,4710,8.0259,6.6465,5.6525,7.9814,20.9468,15.4655,7.1843,0.2422,1.3174,1.2092,0.0126,0.01,0.1193,0.1321,0.7771,1.0603,0.6561,0.4266,0.9458,0.8936,0.6812,0.8174,4.268,5.0854,5.7666,5.241236736,3.867880019
4710.5,27.9890995,50.18700027,4.595876477,4710.5,7.7561,6.3828,5.7132,7.9607,17.3898,13.4267,6.2582,0.2164,1.1403,1.0279,0.0061,0.0116,0.1437,0.1765,0.9506,0.9579,0.3622,0.5005,1.1136,0.7536,0.2923,0.9027,4.0846,4.9874,5.2796,4.595876477,3.90523265
4711,23.35750008,49.22900009,3.937457108,4711,7.2477,5.8852,5.9587,7.924,16.1026,13.1528,6.0414,0.212,1.1254,0.9776,0.0002,0.0132,0.0713,0.2112,1.1829,0.9256,0.1465,0.5008,1.2805,0.5625,0.0548,1.0951,3.8671,4.9622,5.017,3.937457108,3.882486899
4711.5,19.85180092,48.43180084,3.389553843,4711.5,6.7439,5.3912,5.8765,7.9279,17.0817,14.0096,6.0497,0.2158,1.2453,0.9623,0,0.0146,0.0886,0.3276,1.1165,0.9818,0.3278,0.3783,1.2336,0.5067,0.0057,1.3369,3.7075,5.0444,5.0501,3.389553843,3.533769044
4712,17.56599998,48.71680069,3.585430027,4712,6.5016,5.1534,4.9581,7.9373,20.2501,14.9938,5.9782,0.2157,1.3993,0.9391,0,0.0157,0.1234,0.5104,0.9956,1.0229,0.5777,0.4935,1.0858,0.3268,0.0021,1.4301,3.7126,5.1427,5.1447,3.585430027,3.349390533
4712.5,16.2336998,48.54069901,3.464397942,4712.5,6.6098,5.2596,4.9327,7.9398,23.5706,15.3807,5.5862,0.2077,1.5106,0.8486,0,0.0189,0.1894,0.4228,0.8657,1.2313,0.5237,0.6569,0.9778,0.2429,0.0116,1.2461,3.9057,5.1518,5.1634,3.464397942,3.497183645
4713,18.35300064,48.05780029,3.132508792,4713,6.4642,5.1166,6.1707,7.9361,22.6074,15.431,5.41,0.2132,1.5362,0.7646,0,0.0216,0.3434,0.2631,0.5486,1.6341,0.6443,0.5662,0.8412,0.2578,0.0306,0.9755,4.1722,5.1477,5.1783,3.132508792,3.672498085
4713.5,21.73789978,49.34080124,4.014296384,4713.5,6.7863,5.4328,6.9828,7.944,19.5285,15.1559,5.2042,0.2163,1.5142,0.682,0.0001,0.0448,0.3944,0.1854,0.418,1.8117,0.7311,0.4474,0.7634,0.3392,0.0346,0.8154,4.32,5.1354,5.17,4.014296384,3.547263658
4714,22.8621006,52.05270004,5.878144359,4714,6.9526,5.5959,6.8101,7.9202,17.7451,14.6612,5.0842,0.2186,1.4477,0.6321,0.0166,0.1206,0.3366,0.128,0.4808,1.9981,0.5526,0.1796,0.6651,0.59,0.0756,0.7987,4.2965,5.0953,5.1709,5.878144359,3.404324093
4714.5,21.73629951,55.46979904,8.226666008,4714.5,6.4252,5.0783,6.0543,7.9424,18.6645,14.9163,5.1397,0.222,1.4735,0.6339,0.0941,0.2008,0.2729,0.1552,0.6898,1.8475,0.5084,0.2037,0.6057,0.5601,0.2858,0.892,4.2329,5.1249,5.4107,8.226666008,3.639225356
4715,20.48139954,58.93099976,10.60549811,4715,5.7866,4.4504,5.2581,7.9618,21.2341,16.0704,5.3326,0.2277,1.6222,0.6703,0.2973,0.5332,0.3065,0.2148,1.24,1.1714,0.7678,0.3859,0.2144,0.4828,0.7608,1.0406,4.2894,5.33,6.0908,10.60549811,4.161246385
4715.5,20.19989967,59.92110062,11.28597981,4715.5,5.3435,4.0139,4.9171,7.9585,25.0528,18.9413,5.9651,0.2518,1.9692,0.7638,0.2964,0.7634,0.3637,0.3752,1.3277,0.9884,0.9473,0.3826,0.1137,0.3352,1.1705,1.3219,4.3062,5.6281,6.7986,11.28597981,4.783163485
4716,19.88349915,58.00320053,9.967835416,4716,5.3718,4.0418,6.3165,7.9403,31.0074,23.0377,7.0057,0.2875,2.4453,0.9357,0.4312,0.8789,0.378,0.8007,1.4012,0.9089,1.0932,0.2298,0.1037,0.1929,1.2512,1.7501,4.1643,5.9144,7.1657,9.967835416,5.505432042
4716.5,19.81690025,56.19670105,8.726255017,4716.5,5.8882,4.5504,9.5258,7.9403,38.8737,28.4078,8.5605,0.3451,3.0357,1.1727,0.5092,0.8345,0.3644,1.0599,1.423,0.9323,1.071,0.18,0.0632,0.169,1.082,2.1511,3.9326,6.0837,7.1656,8.726255017,6.010918136
4717,22.69389915,54.34540176,7.453884374,4717,6.4945,5.1464,11.0983,7.942,48.8794,35.3843,10.732,0.4334,3.7598,1.467,0.4067,0.6765,0.5426,1.5326,1.076,1.0805,1.1151,0.1484,0.034,0.0714,0.8237,2.4248,3.7733,6.1981,7.0217,7.453884374,6.061940458
4717.5,27.43869972,52.94580078,6.4919593,4717.5,6.4312,5.0843,9.6226,7.9358,58.9726,42.7036,13.1188,0.5356,4.4917,1.7656,0.3288,0.5213,0.7821,1.5896,0.8635,1.3297,0.9879,0.1375,0.036,0.0211,0.7657,2.2631,3.8684,6.1315,6.8972,6.4919593,5.923539964
4718,34.22280121,53.24620056,6.69841963,4718,6.3969,5.0505,8.1205,7.948,68.7701,47.8674,14.6478,0.6137,5.0144,1.8969,0.3397,0.2068,0.7918,1.5648,0.7629,1.6137,0.7884,0.0815,0.0177,0.0063,0.9955,1.8491,3.9966,5.8457,6.8413,6.69841963,5.498785399
4718.5,45.11629868,54.33399963,7.446047858,4718.5,6.438,5.091,8.1508,7.9737,72.448,46.583,14.0252,0.5935,4.9028,1.7884,0.3178,0.1003,0.6875,1.4345,0.8295,1.7178,0.7231,0.0765,0.0048,0.0032,1.2217,1.4563,4.0938,5.55,6.7717,7.446047858,4.866909136
